,tp,fp,fn,precision,recall,f1
compound_id,11.333333333333334,0.0,60.0,1.0,0.29374527367838404,0.38671748671748674
compound_name,7.666666666666667,3.6666666666666665,63.666666666666664,0.4791666666666667,0.23317039704999573,0.28523908523908525
SMILES,0.0,11.333333333333334,71.33333333333333,0.0,0.0,0.0
SMILES_type,6.0,5.333333333333333,65.33333333333333,0.6666666666666666,0.061861215707369556,0.1132132132132132
target,4.666666666666667,6.666666666666667,66.66666666666667,0.2916666666666667,0.15281708258296886,0.18535458535458535
