,tp,fp,fn,precision,recall,f1
compound_id,16.11111111111111,3.2222222222222223,34.55555555555556,0.7435185185185185,0.5585860674570352,0.5498464297999903
smiles,0.0,19.333333333333332,50.666666666666664,0.0,0.0,0.0
target_type,17.88888888888889,1.4444444444444444,32.77777777777778,0.9314814814814815,0.6291701130410807,0.6477066850131865
target_relation,17.22222222222222,2.111111111111111,33.44444444444444,0.8361111111111111,0.624956345924088,0.6395138172227957
target_value,9.666666666666666,9.666666666666666,41.0,0.35185185185185186,0.3246794871794872,0.30019063180827893
target_units,0.0,19.333333333333332,50.666666666666664,0.0,0.0,0.0
bacteria,4.666666666666667,14.666666666666666,46.0,0.2513888888888889,0.197008547008547,0.19078742608154375
