,tp,fp,fn,precision,recall,f1
compound_id,14.5,0.0,93.0,1.0,0.14605842336934774,0.25365853658536586
smiles,0.0,14.5,107.5,0.0,0.0,0.0
target_type,14.5,0.0,93.0,1.0,0.14605842336934774,0.25365853658536586
target_relation,14.5,0.0,93.0,1.0,0.14605842336934774,0.25365853658536586
target_value,7.5,7.0,100.0,0.4411764705882353,0.05102040816326531,0.09146341463414635
target_units,0.0,14.5,107.5,0.0,0.0,0.0
bacteria,0.0,14.5,107.5,0.0,0.0,0.0
