,tp,fp,fn,precision,recall,f1
np,1.6567164179104477,0.26865671641791045,6.0,0.21197583511016346,0.11545790671441114,0.12464362320296767
coating,0.835820895522388,1.0895522388059702,6.82089552238806,0.10625444207533759,0.07460755230060875,0.0729883535331762
bacteria,1.5671641791044777,0.3582089552238806,6.08955223880597,0.2040211032748346,0.11577127493822714,0.12272474630453588
mdr,1.2686567164179106,0.6567164179104478,6.388059701492537,0.14839513720110734,0.06909768428943242,0.08068409710838513
strain,0.9552238805970149,0.9701492537313433,6.701492537313433,0.1118780887437604,0.0679912829977723,0.0679020307401457
np_synthesis,0.0,1.9253731343283582,7.656716417910448,0.0,0.0,0.0
method,1.4477611940298507,0.47761194029850745,6.208955223880597,0.1878656169700946,0.10883687652700233,0.11474853103630651
mic_np_µg_ml,0.9253731343283582,1.0,6.731343283582089,0.11761112022306051,0.07217561262012917,0.07477092266819244
concentration,0.0,1.9253731343283582,7.656716417910448,0.0,0.0,0.0
zoi_np_mm,0.11940298507462686,1.8059701492537314,7.537313432835821,0.02736318407960199,0.012313432835820894,0.015045523723066242
np_size_min_nm,0.40298507462686567,1.5223880597014925,7.253731343283582,0.03893991580558745,0.03818006740491093,0.03083139054749789
np_size_max_nm,0.3283582089552239,1.5970149253731343,7.3283582089552235,0.043532338308457715,0.038677579842721875,0.03204624650029206
np_size_avg_nm,0.7164179104477612,1.208955223880597,6.940298507462686,0.0779919085889235,0.06254736136986876,0.05692179682347833
shape,1.0149253731343284,0.9104477611940298,6.641791044776119,0.12117981520966595,0.0811067383977727,0.08691666186532734
time_set_hours,0.0,1.9253731343283582,7.656716417910448,0.0,0.0,0.0
zeta_potential_mV,0.29850746268656714,1.626865671641791,7.358208955223881,0.032871357498223175,0.03304904051172708,0.030940036658811208
solvent_for_extract,0.11940298507462686,1.8059701492537314,7.537313432835821,0.024946695095948823,0.006818673431262659,0.009579935374673026
temperature_for_extract_C,0.0,1.9253731343283582,7.656716417910448,0.0,0.0,0.0
duration_preparing_extract_min,0.0,1.9253731343283582,7.656716417910448,0.0,0.0,0.0
precursor_of_np,0.9850746268656716,0.9402985074626866,6.6716417910447765,0.11176261549395877,0.07277924325296162,0.07450844367695161
concentration_of_precursor_mM,0.14925373134328357,1.7761194029850746,7.507462686567164,0.013681592039800997,0.029850746268656716,0.018460329929300866
hydrodynamic_diameter_nm,0.22388059701492538,1.7014925373134329,7.432835820895522,0.03109452736318408,0.029850746268656716,0.028410578685519768
ph_during_synthesis,0.0,1.9253731343283582,7.656716417910448,0.0,0.0,0.0
