,tp,fp,fn,precision,recall,f1
compound_id,12.666666666666666,1.3333333333333333,58.666666666666664,0.6666666666666666,0.13755252551239172,0.22795851013672794
compound_name,1.6666666666666667,12.333333333333334,69.66666666666667,0.3333333333333333,0.07246376811594203,0.11904761904761903
SMILES,0.6666666666666666,13.333333333333334,70.66666666666667,0.020202020202020204,0.0039447731755424065,0.006600660066006601
SMILES_type,13.0,1.0,58.333333333333336,0.8964646464646465,0.1790622977913948,0.2982809269937982
target,5.666666666666667,8.333333333333334,65.66666666666667,0.28484848484848485,0.05857130606294486,0.09712399811409712
