,tp,fp,fn,precision,recall,f1
compound_id,13.666666666666666,1.4444444444444444,37.0,0.8760141093474426,0.5436885396562816,0.5811904743866599
smiles,0.0,15.11111111111111,50.666666666666664,0.0,0.0,0.0
target_type,14.88888888888889,0.2222222222222222,35.77777777777778,0.9777777777777779,0.5772355482032903,0.6295072793519166
target_relation,14.88888888888889,0.2222222222222222,35.77777777777778,0.9777777777777779,0.5772355482032903,0.6295072793519166
target_value,10.11111111111111,5.0,40.55555555555556,0.4573853615520282,0.41043447293447294,0.41564038993456115
target_units,2.0,13.11111111111111,48.666666666666664,0.1111111111111111,0.019230769230769232,0.03278688524590164
bacteria,3.888888888888889,11.222222222222221,46.77777777777778,0.30141093474426806,0.22329059829059827,0.2413276664642785
