,tp,fp,fn,precision,recall,f1
compound_id,10.333333333333334,4.888888888888889,40.333333333333336,0.4431818181818182,0.2980677327451521,0.3172603003465537
smiles,0.0,15.222222222222221,50.666666666666664,0.0,0.0,0.0
target_type,15.0,0.2222222222222222,35.666666666666664,0.55,0.3925121771895965,0.4159849684108444
target_relation,14.88888888888889,0.3333333333333333,35.77777777777778,0.5487373737373737,0.39315320283062216,0.4159674981103552
target_value,9.666666666666666,5.555555555555555,41.0,0.397979797979798,0.27294136568330113,0.29139035068954205
target_units,5.666666666666667,9.555555555555555,45.0,0.10454545454545455,0.05790598290598291,0.07403913347309575
bacteria,0.2222222222222222,15.0,50.44444444444444,0.00404040404040404,0.002136752136752137,0.0027952480782669465
