,tp,fp,fn,precision,recall,f1
compound_id,37.0,0.0,70.5,1.0,0.5204081632653061,0.5392156862745098
smiles,0.0,37.0,107.5,0.0,0.0,0.0
target_type,37.0,0.0,70.5,1.0,0.5204081632653061,0.5392156862745098
target_relation,34.0,3.0,73.5,0.8799019607843137,0.48024209683873553,0.4959150326797386
target_value,3.0,34.0,104.5,0.5,0.02040816326530612,0.039215686274509796
target_units,37.0,0.0,70.5,1.0,0.5204081632653061,0.5392156862745098
bacteria,36.0,1.0,71.5,0.8333333333333333,0.5136054421768708,0.5261437908496732
